epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9709,1.48852,3.64344,1.46607,0.0029,0.86957,0.0046,0.00159,1.20229,4.00414,1.45839,0.0001,0.0001,0.0001
2,18.855,1.08513,3.23649,1.35493,0.00319,0.95652,0.07076,0.0236,1.11594,3.76287,1.2794,0.000215644,0.000215644,0.000215644
3,20.3832,0.99187,2.22359,1.24527,0.00333,1,0.2304,0.15796,0.92217,3.4031,1.23776,0.000326536,0.000326536,0.000326536
4,21.6832,0.93822,2.02978,1.21207,0.00319,0.95652,0.2326,0.15593,0.86083,3.38237,1.13731,0.000432676,0.000432676,0.000432676
5,23.0033,0.92497,1.88263,1.19911,0.00319,0.95652,0.14059,0.08365,0.838,3.40294,1.18346,0.000534064,0.000534064,0.000534064
6,24.2275,0.84195,1.80358,1.12346,0.00333,1,0.15811,0.05246,1.00804,3.57609,1.57719,0.0006307,0.0006307,0.0006307
7,25.4107,0.83425,1.77065,1.17735,0.00333,1,0.09961,0.02653,0.93334,3.48171,1.49909,0.000722584,0.000722584,0.000722584
8,26.5609,0.87295,1.64959,1.16683,1,0.12293,0.24118,0.07022,1.11143,3.52279,1.48874,0.000809716,0.000809716,0.000809716
9,27.6868,0.87478,1.60807,1.18996,0.00458,0.95652,0.39359,0.30866,1.07258,3.24893,1.37019,0.000892096,0.000892096,0.000892096
10,28.812,0.87063,1.67751,1.18765,0.38543,0.13043,0.30941,0.19157,1.14247,3.19223,1.33435,0.000969724,0.000969724,0.000969724
11,29.9194,0.83361,1.62493,1.14117,0.62133,0.21442,0.49028,0.32152,0.98255,2.96382,1.3801,0.0010426,0.0010426,0.0010426
12,31.0332,0.86157,1.67158,1.17507,0.43995,0.17391,0.24469,0.15656,1.09695,2.76679,1.79255,0.00111072,0.00111072,0.00111072
13,32.0959,0.86134,1.51785,1.14709,0.75559,0.52174,0.67008,0.49199,1.10256,2.51479,1.71091,0.0011741,0.0011741,0.0011741
14,33.1659,0.90325,1.48117,1.18405,0.74285,0.52174,0.56718,0.43392,0.86227,2.58705,1.1575,0.00123272,0.00123272,0.00123272
15,34.1849,0.90747,1.51439,1.19272,0.75688,0.56522,0.61593,0.46619,0.87896,2.43685,1.17325,0.00128658,0.00128658,0.00128658
16,35.2555,0.89389,1.49465,1.16603,0.82747,0.86957,0.85983,0.61714,0.93045,1.92395,1.21057,0.0013357,0.0013357,0.0013357
17,36.2875,0.83472,1.44853,1.13421,1,0.848,0.89,0.64722,0.98592,1.98074,1.32706,0.0013664,0.0013664,0.0013664
18,37.3567,0.8438,1.37589,1.13726,0.98284,0.65217,0.72633,0.49808,1.0692,2.3478,1.35388,0.0013268,0.0013268,0.0013268
19,38.3771,0.9264,1.50132,1.25972,0.93692,0.73913,0.79787,0.60796,0.91076,2.22655,1.1811,0.0012872,0.0012872,0.0012872
20,39.4328,0.84591,1.4295,1.15583,0.90055,0.78761,0.84187,0.65314,0.90836,1.6454,1.25474,0.0012476,0.0012476,0.0012476
21,40.5067,0.78925,1.3026,1.12117,0.89804,0.78261,0.82792,0.64922,0.84646,1.74101,1.18574,0.001208,0.001208,0.001208
22,41.5521,0.84212,1.36507,1.14947,0.82435,0.81652,0.78489,0.60049,0.83262,1.67316,1.10694,0.0011684,0.0011684,0.0011684
23,42.548,0.83631,1.27816,1.11745,0.86285,0.8208,0.82235,0.63527,0.86506,1.67086,1.16041,0.0011288,0.0011288,0.0011288
24,43.586,0.92438,1.45508,1.2673,0.92656,0.82609,0.86914,0.67932,0.8125,1.30566,1.13762,0.0010892,0.0010892,0.0010892
25,44.6277,0.68583,1.18613,1.08249,0.91977,0.69565,0.82451,0.63451,0.87296,1.29551,1.1385,0.0010496,0.0010496,0.0010496
26,45.6698,0.75797,1.13457,1.07647,0.88811,0.69049,0.79288,0.59471,0.88498,1.25216,1.22303,0.00101,0.00101,0.00101
27,46.6935,0.70021,1.15667,1.03587,0.92236,0.65217,0.81745,0.60642,0.84741,1.10336,1.2656,0.0009704,0.0009704,0.0009704
28,47.7419,0.7554,1.17105,1.1065,0.93514,0.65217,0.81423,0.56195,0.98134,1.23572,1.31791,0.0009308,0.0009308,0.0009308
29,48.7613,0.65912,1.02882,1.01126,0.89091,0.71069,0.83226,0.57673,0.88235,1.36229,1.18612,0.0008912,0.0008912,0.0008912
30,49.811,0.69026,1.06632,1.06698,0.94645,0.76896,0.88698,0.69438,0.84551,1.08315,1.20312,0.0008516,0.0008516,0.0008516
31,50.8607,0.67806,1.0304,1.02804,0.94189,0.78261,0.85897,0.67814,0.79479,1.07503,1.16013,0.000812,0.000812,0.000812
32,51.893,0.67564,1.09702,1.08774,0.94156,0.78261,0.84099,0.67953,0.74358,1.11628,1.08307,0.0007724,0.0007724,0.0007724
33,52.9093,0.61625,0.98756,1.01555,0.9431,0.86957,0.86979,0.69472,0.73343,1.08957,1.05483,0.0007328,0.0007328,0.0007328
34,53.9937,0.67338,0.93023,1.04163,0.9102,0.91304,0.92031,0.74394,0.73379,1.07381,1.05154,0.0006932,0.0006932,0.0006932
35,55.0551,0.68191,1.03065,1.12772,0.97942,0.86957,0.91778,0.74916,0.73081,1.01261,1.03235,0.0006536,0.0006536,0.0006536
36,56.1297,0.65185,0.99449,1.05724,0.93773,0.78261,0.89762,0.73784,0.68226,0.90085,0.9912,0.000614,0.000614,0.000614
37,57.206,0.64688,1.00174,1.04103,0.93822,0.78261,0.90372,0.736,0.6638,0.8518,0.97511,0.0005744,0.0005744,0.0005744
38,58.3297,0.61523,0.9813,1.0726,0.99205,0.86957,0.91357,0.75784,0.6768,0.80434,0.98061,0.0005348,0.0005348,0.0005348
39,59.3823,0.5659,0.92589,1.00825,0.99343,0.86957,0.92081,0.76661,0.65947,0.78862,0.9816,0.0004952,0.0004952,0.0004952
40,60.486,0.58652,0.92591,1.01208,0.95391,0.90033,0.92873,0.76132,0.67857,0.83155,1.01262,0.0004556,0.0004556,0.0004556
41,70.4426,0.61278,1.18184,1.03248,0.9482,0.86957,0.9107,0.7302,0.67608,0.879,1.02198,0.000416,0.000416,0.000416
42,72.0298,0.57304,1.1337,1.00712,0.90352,0.78261,0.8654,0.70773,0.67302,0.96763,1.05649,0.0003764,0.0003764,0.0003764
43,73.1054,0.5897,1.13338,1.03437,0.91985,0.78261,0.87036,0.70724,0.67554,0.9528,1.05602,0.0003368,0.0003368,0.0003368
44,74.1791,0.56025,1.13205,1.01011,0.90433,0.82215,0.87949,0.71952,0.62337,0.96496,1.01538,0.0002972,0.0002972,0.0002972
45,75.3442,0.56255,1.08583,1.00132,0.86801,0.85814,0.89854,0.73821,0.59591,0.92514,0.98571,0.0002576,0.0002576,0.0002576
46,76.4687,0.5773,1.03114,1.04861,0.95209,0.86417,0.92713,0.78131,0.56256,0.80162,0.95864,0.000218,0.000218,0.000218
47,77.4926,0.51764,1.01574,0.98642,0.94841,0.86957,0.92628,0.78528,0.56023,0.77621,0.95541,0.0001784,0.0001784,0.0001784
48,78.5752,0.57372,1.00299,1.0444,0.97527,0.86957,0.91532,0.77414,0.57068,0.79092,0.96942,0.0001388,0.0001388,0.0001388
49,79.5835,0.51114,0.98883,0.99304,0.91257,0.9078,0.91045,0.76129,0.58038,0.79826,0.97677,9.92e-05,9.92e-05,9.92e-05
50,80.7342,0.49488,0.89485,0.96784,0.91293,0.91181,0.91037,0.76499,0.59297,0.78722,0.98601,5.96e-05,5.96e-05,5.96e-05
